,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
64,2022,2,Salta,1140,153,33732,72661,6012,1156,81478,6494.0,203177
65,2022,2,San Juan,240,2027,30385,11276,24649,3728,16701,11617.0,100407
66,2022,2,San Luis,600,3060,6840,21217,11052,67438,13,14815.0,121741
67,2022,2,Santa Cruz,520,6841,12348,11369,11885,2454,3592,6440.0,49185
68,2022,2,Santa Fe,4680,11757,138534,204381,74133,58114,373888,17584.0,878859
69,2022,2,Santiago Del Estero,1780,1401,29581,59931,14606,8830,10672,7920.0,118044
70,2022,2,Tierra Del Fuego,220,8310,12052,14828,19968,1712,1006,3351.0,53770
71,2022,2,Tucumán,390,2195,34461,43513,23634,4863,145541,2810.0,254527
72,2022,1,Buenos Aires,31591,30056,313382,321756,290127,161183,3381049,2628.0,4555424
73,2022,1,Capital Federal,5270,5575,39918,7739,61053,43289,1188072,1717.0,1417541
74,2022,1,Catamarca,710,4560,4386,7009,8773,3761,35715,2207.0,62378
75,2022,1,Chaco,4610,1099,16888,21235,20898,13012,62946,758.0,144119
76,2022,1,Chubut,1130,1677,61369,31856,3308,13871,14055,15607.0,171628
77,2022,1,Córdoba,1000,12782,165922,126009,73967,34892,577027,13104.0,1003803
78,2022,1,Corrientes,670,4029,24563,25665,27077,10452,43631,7094.0,142578
79,2022,1,Entre Ríos,1070,5745,50075,4962,42294,21578,81757,1675.0,267926
80,2022,1,Formosa,970,4480,24113,6945,6613,7160,15028,5880.0,54548
81,2022,1,Jujuy,580,1761,22141,16321,37923,5760,35287,2442.0,116509
82,2022,1,La Pampa,3010,2223,62812,9869,12044,525,14400,2833.0,109732
83,2022,1,La Rioja,180,7780,3576,4692,23624,5645,45970,0.0,84303
84,2022,1,Mendoza,1140,3355,51230,26407,74178,21566,95048,3287.0,275185
85,2022,1,Misiones,510,3873,35655,22261,26855,15854,58610,8349.0,171508
86,2022,1,Neuquén,1370,1123,39856,15623,11163,2654,71238,7885.0,149679
87,2022,1,Río Negro,1160,1383,35565,18859,26926,14144,37729,22652.0,157374
