,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
117,2021,4,Santiago Del Estero,190,870,10,60,30,1160
118,2021,4,Tierra Del Fuego,130,380,4260,1240,3420,520
119,2021,4,Tucumán,980,590,790,30,4860,2390
120,2021,3,Buenos Aires,5860,30,8860,1200,650,40
121,2021,3,Capital Federal,1430,10,430,60,290,10
122,2021,3,Catamarca,180,120,220,20,20,560
123,2021,3,Chaco,380,640,280,80,20,1400
124,2021,3,Chubut,490,560,90,230,190,1560
125,2021,3,Córdoba,2290,4770,1670,580,150,9470
126,2021,3,Corrientes,450,690,80,70,50,1340
127,2021,3,Entre Ríos,740,1290,200,240,130,2600
128,2021,3,Formosa,180,140,50,160,1710,530
129,2021,3,Jujuy,240,610,200,30,40,1110
130,2021,3,La Pampa,90,580,180,140,10,1000
131,2021,3,La Rioja,110,550,90,70,300,820
132,2021,3,Mendoza,910,710,710,220,8280,2560
133,2021,3,Misiones,430,890,110,70,80,1590
134,2021,3,Neuquén,300,740,160,190,6400,1400
135,2021,3,Río Negro,480,450,190,150,180,1450
136,2021,3,Salta,490,980,360,60,60,1960
137,2021,3,San Juan,400,130,70,110,80,790
138,2021,3,San Luis,80,120,270,690,290,1180
139,2021,3,Santa Cruz,120,230,60,40,30,490
140,2021,3,Santa Fe,2460,4430,930,430,160,8420
141,2021,3,Santiago Del Estero,200,860,9090,60,30,1150
142,2021,3,Tierra Del Fuego,130,370,60,160,3900,500
143,2021,3,Tucumán,1040,540,710,20,7430,2320
144,2021,2,Buenos Aires,6030,30,8540,1140,580,40
145,2021,2,Capital Federal,1490,10,410,60,290,10
146,2021,2,Catamarca,200,90,220,10,20,560
147,2021,2,Chaco,400,630,280,80,20,1410
148,2021,2,Chubut,490,410,60,240,190,1390
149,2021,2,Córdoba,2400,4680,1520,560,160,9310
150,2021,2,Corrientes,470,670,40,70,50,1300
151,2021,2,Entre Ríos,780,1250,180,240,130,2580
152,2021,2,Formosa,200,130,40,160,1710,520
153,2021,2,Jujuy,250,610,200,30,40,1120
154,2021,2,La Pampa,90,570,170,130,10,980
155,2021,2,La Rioja,120,540,90,60,300,820
156,2021,2,Mendoza,920,710,450,220,8270,2300
157,2021,2,Misiones,450,880,100,50,80,1560
158,2021,2,Neuquén,300,730,160,190,6400,1380
159,2021,2,Río Negro,480,440,190,150,180,1440
160,2021,2,Salta,510,960,320,60,60,1920
161,2021,2,San Juan,400,120,70,110,80,790
162,2021,2,San Luis,80,110,280,670,360,1230
163,2021,2,Santa Cruz,120,230,60,40,30,490
164,2021,2,Santa Fe,2570,4320,900,440,180,8410
165,2021,2,Santiago Del Estero,210,840,9090,50,40,1140
166,2021,2,Tierra Del Fuego,130,230,60,140,3160,360
167,2021,2,Tucumán,1100,480,720,20,7430,2330
168,2021,1,Buenos Aires,6300,20,8220,990,580,40
169,2021,1,Capital Federal,1600,10,400,60,290,10
170,2021,1,Catamarca,260,40,190,3220,20,520
171,2021,1,Chaco,430,610,250,80,20,1400
172,2021,1,Chubut,460,410,30,240,190,1320
173,2021,1,Córdoba,2600,4450,1350,540,170,9110
174,2021,1,Corrientes,490,630,30,60,50,1270
175,2021,1,Entre Ríos,840,1180,170,210,120,2520
176,2021,1,Formosa,210,110,30,160,3800,510
177,2021,1,Jujuy,320,540,170,30,40,1100
178,2021,1,La Pampa,90,590,160,120,10,970
179,2021,1,La Rioja,170,350,10,2500,300,530
180,2021,1,Mendoza,920,690,390,180,8330,2190
181,2021,1,Misiones,480,820,70,50,70,1490
182,2021,1,Neuquén,300,700,140,180,6320,1330
183,2021,1,Río Negro,490,420,180,140,180,1410
184,2021,1,Salta,550,890,310,60,60,1880
185,2021,1,San Juan,400,120,70,110,80,780
186,2021,1,San Luis,80,110,280,640,360,1190
187,2021,1,Santa Cruz,120,230,60,40,3900,460
188,2021,1,Santa Fe,2770,4210,710,390,180,8260
189,2021,1,Santiago Del Estero,260,760,5700,50,40,1120
190,2021,1,Tierra Del Fuego,130,270,60,0,3160,400
191,2021,1,Tucumán,1470,120,700,20,7400,2320
192,2020,4,Buenos Aires,6360,20,8050,930,580,40
193,2020,4,Capital Federal,1630,10,400,50,290,10
194,2020,4,Catamarca,270,50,180,3220,20,520
195,2020,4,Chaco,440,610,240,80,20,1390
196,2020,4,Chubut,460,400,30,230,190,1310
197,2020,4,Córdoba,2670,4390,1260,530,180,9030
198,2020,4,Corrientes,500,610,30,60,50,1260
