,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
140,2021,3,Santa Fe,841,1510,842
141,2021,3,Santiago Del Estero,115,10,115
142,2021,3,Tierra Del Fuego,50,2890,50
143,2021,3,Tucumán,232,250,232
144,2021,2,Buenos Aires,4,50,4
145,2021,2,Capital Federal,1,20,1
146,2021,2,Catamarca,56,10,56
147,2021,2,Chaco,141,30,141
148,2021,2,Chubut,138,8250,139
149,2021,2,Córdoba,931,620,931
150,2021,2,Corrientes,129,30,130
151,2021,2,Entre Ríos,258,150,258
152,2021,2,Formosa,52,0,52
153,2021,2,Jujuy,112,0,112
154,2021,2,La Pampa,98,1160,98
155,2021,2,La Rioja,82,30,82
156,2021,2,Mendoza,229,6190,230
157,2021,2,Misiones,156,0,156
158,2021,2,Neuquén,138,3730,138
159,2021,2,Río Negro,144,5010,144
160,2021,2,Salta,192,20,192
161,2021,2,San Juan,79,2560,79
162,2021,2,San Luis,123,1480,123
163,2021,2,Santa Cruz,49,1970,49
164,2021,2,Santa Fe,840,1510,841
165,2021,2,Santiago Del Estero,114,10,114
166,2021,2,Tierra Del Fuego,35,2890,36
167,2021,2,Tucumán,233,250,233
168,2021,1,Buenos Aires,4,50,4
169,2021,1,Capital Federal,1,10,1
170,2021,1,Catamarca,52,10,52
171,2021,1,Chaco,140,30,140
172,2021,1,Chubut,132,8250,132
173,2021,1,Córdoba,911,550,911
174,2021,1,Corrientes,127,30,127
175,2021,1,Entre Ríos,252,130,252
176,2021,1,Formosa,51,0,51
177,2021,1,Jujuy,110,0,110
178,2021,1,La Pampa,97,1160,97
179,2021,1,La Rioja,53,30,53
180,2021,1,Mendoza,218,6150,219
181,2021,1,Misiones,149,0,149
182,2021,1,Neuquén,133,3730,133
183,2021,1,Río Negro,141,5010,141
184,2021,1,Salta,188,20,188
185,2021,1,San Juan,78,2560,78
186,2021,1,San Luis,119,1480,119
187,2021,1,Santa Cruz,46,1970,46
188,2021,1,Santa Fe,826,1370,826
189,2021,1,Santiago Del Estero,112,10,112
190,2021,1,Tierra Del Fuego,40,2890,40
191,2021,1,Tucumán,232,220,232
192,2020,4,Buenos Aires,4,50,4
193,2020,4,Capital Federal,1,10,1
194,2020,4,Catamarca,52,10,52
195,2020,4,Chaco,139,30,139
196,2020,4,Chubut,130,8250,131
197,2020,4,Córdoba,903,550,903
198,2020,4,Corrientes,126,30,126
199,2020,4,Entre Ríos,247,130,247
200,2020,4,Formosa,50,0,50
201,2020,4,Jujuy,106,0,106
202,2020,4,La Pampa,97,1160,97
203,2020,4,La Rioja,53,30,53
204,2020,4,Mendoza,215,6150,215
205,2020,4,Misiones,147,0,147
206,2020,4,Neuquén,133,3730,133
207,2020,4,Río Negro,141,5010,141
208,2020,4,Salta,187,20,187
209,2020,4,San Juan,72,2560,73
210,2020,4,San Luis,119,1480,119
211,2020,4,Santa Cruz,40,1970,41
212,2020,4,Santa Fe,821,1370,821
213,2020,4,Santiago Del Estero,107,10,107
214,2020,4,Tierra Del Fuego,39,2890,40
215,2020,4,Tucumán,231,220,231
216,2020,3,Buenos Aires,4,50,4
217,2020,3,Capital Federal,1,10,1
218,2020,3,Catamarca,50,10,50
