,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
699,2015,3,Chaco,85,160,85
700,2015,3,Chubut,62,20,64
701,2015,3,Córdoba,623,2370,623
702,2015,3,Corrientes,85,280,85
703,2015,3,Entre Ríos,172,1820,172
704,2015,3,Formosa,28,10,28
705,2015,3,Jujuy,40,20,40
706,2015,3,La Pampa,65,4950,65
707,2015,3,La Rioja,17,180,17
708,2015,3,Mendoza,169,20,171
709,2015,3,Misiones,92,70,92
710,2015,3,Neuquén,98,20,101
711,2015,3,Río Negro,99,10,100
712,2015,3,Salta,101,30,101
713,2015,3,San Juan,51,6210,52
714,2015,3,San Luis,13,3170,13
715,2015,3,Santa Cruz,26,3590,26
716,2015,3,Santa Fe,556,6410,557
717,2015,3,Santiago Del Estero,39,30,39
718,2015,3,Tierra Del Fuego,33,6190,34
719,2015,3,Tucumán,144,420,144
720,2015,2,Buenos Aires,3,130,3
721,2015,2,Capital Federal,1,100,1
722,2015,2,Catamarca,26,130,26
723,2015,2,Chaco,84,160,84
724,2015,2,Chubut,62,20,63
725,2015,2,Córdoba,610,2360,610
726,2015,2,Corrientes,83,280,83
727,2015,2,Entre Ríos,169,1830,169
728,2015,2,Formosa,27,370,27
729,2015,2,Jujuy,38,20,38
730,2015,2,La Pampa,64,5000,64
731,2015,2,La Rioja,16,180,17
732,2015,2,Mendoza,169,20,171
733,2015,2,Misiones,89,70,89
734,2015,2,Neuquén,96,20,98
735,2015,2,Río Negro,98,10,99
736,2015,2,Salta,98,30,98
737,2015,2,San Juan,51,6210,52
738,2015,2,San Luis,13,3170,13
739,2015,2,Santa Cruz,25,3790,26
740,2015,2,Santa Fe,546,6490,546
741,2015,2,Santiago Del Estero,39,30,39
742,2015,2,Tierra Del Fuego,33,6190,34
743,2015,2,Tucumán,141,420,141
744,2015,1,Buenos Aires,3,150,3
745,2015,1,Capital Federal,1,120,1
746,2015,1,Catamarca,25,200,25
747,2015,1,Chaco,81,310,81
748,2015,1,Chubut,63,20,65
749,2015,1,Córdoba,597,2940,597
750,2015,1,Corrientes,81,430,82
751,2015,1,Entre Ríos,166,2310,166
752,2015,1,Formosa,27,430,27
753,2015,1,Jujuy,37,30,37
754,2015,1,La Pampa,62,5420,63
755,2015,1,La Rioja,16,230,16
756,2015,1,Mendoza,168,20,170
757,2015,1,Misiones,85,70,85
758,2015,1,Neuquén,93,20,96
759,2015,1,Río Negro,96,10,97
760,2015,1,Salta,97,180,97
761,2015,1,San Juan,51,7020,52
762,2015,1,San Luis,13,3540,13
763,2015,1,Santa Cruz,26,4240,27
764,2015,1,Santa Fe,536,7970,536
765,2015,1,Santiago Del Estero,39,80,39
766,2015,1,Tierra Del Fuego,33,7300,33
767,2015,1,Tucumán,138,920,138
768,2014,4,Buenos Aires,3,150,3
769,2014,4,Capital Federal,1,120,1
770,2014,4,Catamarca,25,210,25
771,2014,4,Chaco,66,370,66
772,2014,4,Chubut,67,20,69
773,2014,4,Córdoba,590,3190,590
774,2014,4,Corrientes,66,540,66
775,2014,4,Entre Ríos,141,2460,141
776,2014,4,Formosa,26,510,26
777,2014,4,Jujuy,36,30,36
778,2014,4,La Pampa,57,5670,57
779,2014,4,La Rioja,16,230,16
780,2014,4,Mendoza,168,20,170
781,2014,4,Misiones,77,70,77
782,2014,4,Neuquén,93,20,95
783,2014,4,Río Negro,95,10,96
784,2014,4,Salta,94,260,94
785,2014,4,San Juan,51,7290,52
786,2014,4,San Luis,13,3590,13
787,2014,4,Santa Cruz,25,4360,26
788,2014,4,Santa Fe,528,9380,529
789,2014,4,Santiago Del Estero,39,90,39
790,2014,4,Tierra Del Fuego,28,7410,29
791,2014,4,Tucumán,137,950,137
792,2014,3,Buenos Aires,3,140,3
793,2014,3,Capital Federal,1,110,1
794,2014,3,Catamarca,25,210,25
795,2014,3,Chaco,64,360,64
796,2014,3,Chubut,67,20,69
797,2014,3,Córdoba,585,2000,585
798,2014,3,Corrientes,64,330,64
799,2014,3,Entre Ríos,137,1150,137
800,2014,3,Formosa,26,640,26
801,2014,3,Jujuy,34,20,34
802,2014,3,La Pampa,62,5640,62
803,2014,3,La Rioja,16,230,16
804,2014,3,Mendoza,166,20,168
805,2014,3,Misiones,75,0,75
806,2014,3,Neuquén,100,20,102
807,2014,3,Río Negro,97,10,98
808,2014,3,Salta,93,250,93
809,2014,3,San Juan,51,7480,52
810,2014,3,San Luis,13,3630,13
811,2014,3,Santa Cruz,26,4460,26
812,2014,3,Santa Fe,520,6910,521
813,2014,3,Santiago Del Estero,38,90,38
814,2014,3,Tierra Del Fuego,28,7550,29
815,2014,3,Tucumán,132,880,132
816,2014,2,Buenos Aires,3,140,3
817,2014,2,Capital Federal,1,110,1
818,2014,2,Catamarca,25,230,25
819,2014,2,Chaco,63,360,63
820,2014,2,Chubut,69,20,71
821,2014,2,Córdoba,577,2050,577
822,2014,2,Corrientes,63,330,63
823,2014,2,Entre Ríos,135,1150,136
824,2014,2,Formosa,26,650,26
825,2014,2,Jujuy,34,20,34
826,2014,2,La Pampa,55,5800,56
827,2014,2,La Rioja,16,230,16
828,2014,2,Mendoza,165,20,167
829,2014,2,Misiones,75,0,75
830,2014,2,Neuquén,90,20,92
831,2014,2,Río Negro,95,10,96
832,2014,2,Salta,92,250,92
833,2014,2,San Juan,51,7550,52
834,2014,2,San Luis,13,3640,13
835,2014,2,Santa Cruz,27,4590,27
836,2014,2,Santa Fe,512,6050,512
837,2014,2,Santiago Del Estero,38,90,38
838,2014,2,Tierra Del Fuego,27,7660,28
839,2014,2,Tucumán,132,880,132
840,2014,1,Buenos Aires,3,140,3
841,2014,1,Capital Federal,1,110,1
842,2014,1,Catamarca,24,230,24
843,2014,1,Chaco,63,360,63
844,2014,1,Chubut,68,20,70
845,2014,1,Córdoba,567,2050,567
846,2014,1,Corrientes,62,330,62
847,2014,1,Entre Ríos,134,1150,134
848,2014,1,Formosa,25,870,25
849,2014,1,Jujuy,34,20,34
850,2014,1,La Pampa,54,5920,54
851,2014,1,La Rioja,16,230,16
852,2014,1,Mendoza,164,20,166
853,2014,1,Misiones,74,0,74
854,2014,1,Neuquén,88,20,90
855,2014,1,Río Negro,94,10,95
856,2014,1,Salta,91,250,91
857,2014,1,San Juan,51,7550,51
858,2014,1,San Luis,12,3640,13
859,2014,1,Santa Cruz,26,4600,27
860,2014,1,Santa Fe,506,6120,507
861,2014,1,Santiago Del Estero,37,90,37
862,2014,1,Tierra Del Fuego,27,7660,28
863,2014,1,Tucumán,130,880,130
