Año,Trimestre,Provincia,Accesos por cada 100 hogares,provincia_id,año_id
2021,3,Tierra Del Fuego,94.95,22,1
2021,3,Tucumán,54.64,23,1
2021,2,Buenos Aires,70.0,0,1
2021,2,Capital Federal,110.14,1,1
2021,2,Catamarca,52.34,2,1
2021,2,Chaco,43.33,3,1
2021,2,Chubut,72.29,4,1
2021,2,Córdoba,80.12,5,1
2021,2,Corrientes,43.54,6,1
2021,2,Entre Ríos,61.66,7,1
2021,2,Formosa,33.23,8,1
2021,2,Jujuy,56.18,9,1
2021,2,La Pampa,82.08,10,1
2021,2,La Rioja,76.98,11,1
2021,2,Mendoza,40.97,12,1
2021,2,Misiones,45.01,13,1
2021,2,Neuquén,69.14,14,1
2021,2,Río Negro,61.94,15,1
2021,2,Salta,54.93,16,1
2021,2,San Juan,39.28,17,1
2021,2,San Luis,83.48,18,1
2021,2,Santa Cruz,44.01,19,1
2021,2,Santa Fe,75.07,20,1
2021,2,Santiago Del Estero,46.56,21,1
2021,2,Tierra Del Fuego,67.89,22,1
2021,2,Tucumán,54.93,23,1
2021,1,Buenos Aires,69.11,0,1
2021,1,Capital Federal,108.42,1,1
2021,1,Catamarca,48.9,2,1
2021,1,Chaco,43.14,3,1
2021,1,Chubut,68.99,4,1
2021,1,Córdoba,78.59,5,1
2021,1,Corrientes,42.66,6,1
2021,1,Entre Ríos,60.44,7,1
2021,1,Formosa,32.73,8,1
2021,1,Jujuy,55.63,9,1
2021,1,La Pampa,81.78,10,1
2021,1,La Rioja,49.81,11,1
2021,1,Mendoza,39.15,12,1
2021,1,Misiones,43.17,13,1
2021,1,Neuquén,66.84,14,1
2021,1,Río Negro,60.88,15,1
2021,1,Salta,53.93,16,1
2021,1,San Juan,39.06,17,1
2021,1,San Luis,81.24,18,1
2021,1,Santa Cruz,41.65,19,1
2021,1,Santa Fe,73.92,20,1
2021,1,Santiago Del Estero,45.67,21,1
2021,1,Tierra Del Fuego,77.35,22,1
2021,1,Tucumán,54.82,23,1
2020,4,Buenos Aires,68.98,0,2
2020,4,Capital Federal,108.31,1,2
2020,4,Catamarca,49.41,2,2
2020,4,Chaco,43.03,3,2
2020,4,Chubut,68.35,4,2
2020,4,Córdoba,78.08,5,2
2020,4,Corrientes,42.43,6,2
2020,4,Entre Ríos,59.47,7,2
2020,4,Formosa,32.49,8,2
2020,4,Jujuy,53.46,9,2
2020,4,La Pampa,81.77,10,2
2020,4,La Rioja,50.11,11,2
2020,4,Mendoza,38.63,12,2
2020,4,Misiones,42.64,13,2
2020,4,Neuquén,67.0,14,2
2020,4,Río Negro,61.09,15,2
2020,4,Salta,54.04,16,2
2020,4,San Juan,36.32,17,2
2020,4,San Luis,81.68,18,2
2020,4,Santa Cruz,37.0,19,2
2020,4,Santa Fe,73.58,20,2
2020,4,Santiago Del Estero,43.75,21,2
2020,4,Tierra Del Fuego,76.27,22,2
2020,4,Tucumán,54.78,23,2
2020,3,Buenos Aires,67.66,0,2
2020,3,Capital Federal,107.68,1,2
2020,3,Catamarca,47.16,2,2
2020,3,Chaco,41.54,3,2
2020,3,Chubut,68.34,4,2
2020,3,Córdoba,75.22,5,2
2020,3,Corrientes,41.75,6,2
2020,3,Entre Ríos,58.19,7,2
2020,3,Formosa,31.91,8,2
2020,3,Jujuy,54.04,9,2
2020,3,La Pampa,79.26,10,2
2020,3,La Rioja,50.12,11,2
2020,3,Mendoza,37.35,12,2
2020,3,Misiones,41.6,13,2
2020,3,Neuquén,65.24,14,2
2020,3,Río Negro,57.05,15,2
2020,3,Salta,52.32,16,2
2020,3,San Juan,38.79,17,2
2020,3,San Luis,79.96,18,2
2020,3,Santa Cruz,35.95,19,2
2020,3,Santa Fe,72.12,20,2
2020,3,Santiago Del Estero,43.38,21,2
2020,3,Tierra Del Fuego,76.81,22,2
2020,3,Tucumán,53.23,23,2
2020,2,Buenos Aires,65.22,0,2
2020,2,Capital Federal,106.41,1,2
2020,2,Catamarca,45.43,2,2
2020,2,Chaco,39.83,3,2
2020,2,Chubut,57.34,4,2
2020,2,Córdoba,72.71,5,2
2020,2,Corrientes,40.3,6,2
2020,2,Entre Ríos,56.54,7,2
2020,2,Formosa,31.14,8,2
2020,2,Jujuy,47.89,9,2
2020,2,La Pampa,76.1,10,2
