Año,Trimestre,Provincia,Accesos por cada 100 hab,provincia_id,año_id
2021,2,Río Negro,19,15,1
2021,2,Salta,13,16,1
2021,2,San Juan,10,17,1
2021,2,San Luis,23,18,1
2021,2,Santa Cruz,13,19,1
2021,2,Santa Fe,23,20,1
2021,2,Santiago Del Estero,11,21,1
2021,2,Tierra Del Fuego,20,22,1
2021,2,Tucumán,13,23,1
2021,1,Buenos Aires,23,0,1
2021,1,Capital Federal,44,1,1
2021,1,Catamarca,12,2,1
2021,1,Chaco,11,3,1
2021,1,Chubut,21,4,1
2021,1,Córdoba,24,5,1
2021,1,Corrientes,11,6,1
2021,1,Entre Ríos,18,7,1
2021,1,Formosa,8,8,1
2021,1,Jujuy,14,9,1
2021,1,La Pampa,26,10,1
2021,1,La Rioja,13,11,1
2021,1,Mendoza,10,12,1
2021,1,Misiones,11,13,1
2021,1,Neuquén,19,14,1
2021,1,Río Negro,18,15,1
2021,1,Salta,13,16,1
2021,1,San Juan,9,17,1
2021,1,San Luis,23,18,1
2021,1,Santa Cruz,12,19,1
2021,1,Santa Fe,23,20,1
2021,1,Santiago Del Estero,11,21,1
2021,1,Tierra Del Fuego,22,22,1
2021,1,Tucumán,13,23,1
2020,4,Buenos Aires,22,0,2
2020,4,Capital Federal,44,1,2
2020,4,Catamarca,12,2,2
2020,4,Chaco,11,3,2
2020,4,Chubut,20,4,2
2020,4,Córdoba,23,5,2
2020,4,Corrientes,11,6,2
2020,4,Entre Ríos,17,7,2
2020,4,Formosa,8,8,2
2020,4,Jujuy,13,9,2
2020,4,La Pampa,26,10,2
2020,4,La Rioja,13,11,2
2020,4,Mendoza,10,12,2
2020,4,Misiones,11,13,2
2020,4,Neuquén,19,14,2
2020,4,Río Negro,18,15,2
2020,4,Salta,13,16,2
2020,4,San Juan,9,17,2
2020,4,San Luis,23,18,2
2020,4,Santa Cruz,11,19,2
2020,4,Santa Fe,23,20,2
2020,4,Santiago Del Estero,10,21,2
2020,4,Tierra Del Fuego,22,22,2
2020,4,Tucumán,13,23,2
2020,3,Buenos Aires,22,0,2
2020,3,Capital Federal,44,1,2
2020,3,Catamarca,12,2,2
2020,3,Chaco,11,3,2
2020,3,Chubut,20,4,2
2020,3,Córdoba,23,5,2
2020,3,Corrientes,10,6,2
2020,3,Entre Ríos,17,7,2
2020,3,Formosa,8,8,2
2020,3,Jujuy,13,9,2
2020,3,La Pampa,26,10,2
2020,3,La Rioja,13,11,2
2020,3,Mendoza,10,12,2
2020,3,Misiones,11,13,2
2020,3,Neuquén,19,14,2
2020,3,Río Negro,17,15,2
2020,3,Salta,12,16,2
2020,3,San Juan,9,17,2
2020,3,San Luis,22,18,2
2020,3,Santa Cruz,10,19,2
2020,3,Santa Fe,22,20,2
2020,3,Santiago Del Estero,10,21,2
2020,3,Tierra Del Fuego,22,22,2
2020,3,Tucumán,13,23,2
2020,2,Buenos Aires,21,0,2
2020,2,Capital Federal,44,1,2
2020,2,Catamarca,11,2,2
2020,2,Chaco,10,3,2
2020,2,Chubut,17,4,2
2020,2,Córdoba,22,5,2
2020,2,Corrientes,10,6,2
2020,2,Entre Ríos,16,7,2
2020,2,Formosa,7,8,2
2020,2,Jujuy,12,9,2
2020,2,La Pampa,25,10,2
2020,2,La Rioja,13,11,2
2020,2,Mendoza,10,12,2
2020,2,Misiones,11,13,2
2020,2,Neuquén,19,14,2
2020,2,Río Negro,17,15,2
2020,2,Salta,12,16,2
2020,2,San Juan,8,17,2
2020,2,San Luis,22,18,2
2020,2,Santa Cruz,10,19,2
2020,2,Santa Fe,22,20,2
2020,2,Santiago Del Estero,10,21,2
2020,2,Tierra Del Fuego,22,22,2
2020,2,Tucumán,12,23,2
2020,1,Buenos Aires,21,0,2
2020,1,Capital Federal,44,1,2
2020,1,Catamarca,9,2,2
2020,1,Chaco,10,3,2
2020,1,Chubut,15,4,2
2020,1,Córdoba,21,5,2
2020,1,Corrientes,10,6,2
2020,1,Entre Ríos,16,7,2
2020,1,Formosa,7,8,2
2020,1,Jujuy,11,9,2
2020,1,La Pampa,24,10,2
2020,1,La Rioja,12,11,2
2020,1,Mendoza,9,12,2
2020,1,Misiones,10,13,2
2020,1,Neuquén,18,14,2
2020,1,Río Negro,16,15,2
2020,1,Salta,12,16,2
2020,1,San Juan,8,17,2
2020,1,San Luis,21,18,2
2020,1,Santa Cruz,10,19,2
2020,1,Santa Fe,21,20,2
2020,1,Santiago Del Estero,10,21,2
2020,1,Tierra Del Fuego,22,22,2
2020,1,Tucumán,11,23,2
2019,4,Buenos Aires,21,0,3
2019,4,Capital Federal,44,1,3
2019,4,Catamarca,9,2,3
2019,4,Chaco,9,3,3
2019,4,Chubut,15,4,3
2019,4,Córdoba,21,5,3
2019,4,Corrientes,10,6,3
2019,4,Entre Ríos,17,7,3
2019,4,Formosa,7,8,3
2019,4,Jujuy,11,9,3
2019,4,La Pampa,25,10,3
2019,4,La Rioja,12,11,3
