,Año,Trimestre,Provincia,Accesos por cada 100 hab
258,2020,2,San Luis,22
259,2020,2,Santa Cruz,10
260,2020,2,Santa Fe,22
261,2020,2,Santiago Del Estero,10
262,2020,2,Tierra Del Fuego,22
263,2020,2,Tucumán,12
264,2020,1,Buenos Aires,21
265,2020,1,Capital Federal,44
266,2020,1,Catamarca,9
267,2020,1,Chaco,10
268,2020,1,Chubut,15
269,2020,1,Córdoba,21
270,2020,1,Corrientes,10
271,2020,1,Entre Ríos,16
272,2020,1,Formosa,7
273,2020,1,Jujuy,11
274,2020,1,La Pampa,24
275,2020,1,La Rioja,12
276,2020,1,Mendoza,9
277,2020,1,Misiones,10
278,2020,1,Neuquén,18
279,2020,1,Río Negro,16
280,2020,1,Salta,12
281,2020,1,San Juan,8
282,2020,1,San Luis,21
283,2020,1,Santa Cruz,10
284,2020,1,Santa Fe,21
285,2020,1,Santiago Del Estero,10
286,2020,1,Tierra Del Fuego,22
287,2020,1,Tucumán,11
288,2019,4,Buenos Aires,21
289,2019,4,Capital Federal,44
290,2019,4,Catamarca,9
291,2019,4,Chaco,9
292,2019,4,Chubut,15
293,2019,4,Córdoba,21
294,2019,4,Corrientes,10
295,2019,4,Entre Ríos,17
296,2019,4,Formosa,7
297,2019,4,Jujuy,11
298,2019,4,La Pampa,25
299,2019,4,La Rioja,12
300,2019,4,Mendoza,9
301,2019,4,Misiones,10
302,2019,4,Neuquén,17
303,2019,4,Río Negro,17
304,2019,4,Salta,12
305,2019,4,San Juan,8
306,2019,4,San Luis,21
307,2019,4,Santa Cruz,10
308,2019,4,Santa Fe,21
309,2019,4,Santiago Del Estero,10
310,2019,4,Tierra Del Fuego,23
311,2019,4,Tucumán,11
312,2019,3,Buenos Aires,22
313,2019,3,Capital Federal,46
314,2019,3,Catamarca,7
315,2019,3,Chaco,9
316,2019,3,Chubut,14
317,2019,3,Córdoba,21
318,2019,3,Corrientes,10
319,2019,3,Entre Ríos,17
320,2019,3,Formosa,7
321,2019,3,Jujuy,11
322,2019,3,La Pampa,25
323,2019,3,La Rioja,12
324,2019,3,Mendoza,11
325,2019,3,Misiones,10
326,2019,3,Neuquén,19
327,2019,3,Río Negro,19
328,2019,3,Salta,10
329,2019,3,San Juan,9
330,2019,3,San Luis,24
331,2019,3,Santa Cruz,10
332,2019,3,Santa Fe,21
333,2019,3,Santiago Del Estero,13
334,2019,3,Tierra Del Fuego,28
335,2019,3,Tucumán,9
336,2019,2,Buenos Aires,22
337,2019,2,Capital Federal,46
338,2019,2,Catamarca,8
339,2019,2,Chaco,9
