Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,provincia_id,año_id
2021,4,Jujuy,113915,0.0,113915,9,1
2021,4,La Pampa,106834,1730.0,107007,10,1
2021,4,La Rioja,83124,40.0,83128,11,1
2021,4,Mendoza,266783,8040.0,267587,12,1
2021,4,Misiones,171132,0.0,171132,13,1
2021,4,Neuquén,146989,4770.0,147466,14,1
2021,4,Río Negro,153189,5640.0,153753,15,1
2021,4,Salta,199399,60.0,199405,16,1
2021,4,San Juan,79667,2910.0,79958,17,1
2021,4,San Luis,118662,1870.0,118849,18,1
2021,4,Santa Cruz,48276,2100.0,48486,19,1
2021,4,Santa Fe,866265,1760.0,866441,20,1
2021,4,Santiago Del Estero,115859,20.0,115861,21,1
2021,4,Tierra Del Fuego,52042,3150.0,52357,22,1
2021,4,Tucumán,238609,300.0,238639,23,1
2021,3,Buenos Aires,4246425,51840.0,4251609,0,1
2021,3,Capital Federal,1411797,16080.0,1413405,1,1
2021,3,Catamarca,56253,10.0,56254,2,1
2021,3,Chaco,139868,30.0,139871,3,1
2021,3,Chubut,155266,8000.0,156066,4,1
2021,3,Córdoba,946726,620.0,946788,5,1
2021,3,Corrientes,133816,30.0,133819,6,1
2021,3,Entre Ríos,260360,150.0,260375,7,1
2021,3,Formosa,52795,0.0,52795,8,1
2021,3,Jujuy,111158,0.0,111158,9,1
2021,3,La Pampa,100371,1160.0,100487,10,1
2021,3,La Rioja,82157,30.0,82160,11,1
2021,3,Mendoza,255320,6190.0,255939,12,1
2021,3,Misiones,158528,0.0,158528,13,1
2021,3,Neuquén,139436,3730.0,139809,14,1
2021,3,Río Negro,144084,5010.0,144585,15,1
2021,3,Salta,195831,20.0,195833,16,1
2021,3,San Juan,79227,2560.0,79483,17,1
2021,3,San Luis,117716,1480.0,117864,18,1
2021,3,Santa Cruz,48779,1970.0,48976,19,1
2021,3,Santa Fe,841433,1510.0,841584,20,1
2021,3,Santiago Del Estero,115457,10.0,115458,21,1
2021,3,Tierra Del Fuego,49934,2890.0,50223,22,1
2021,3,Tucumán,232447,250.0,232472,23,1
2021,2,Buenos Aires,4127167,51840.0,4132351,0,1
2021,2,Capital Federal,1398747,16080.0,1400355,1,1
2021,2,Catamarca,55743,10.0,55744,2,1
2021,2,Chaco,140726,30.0,140729,3,1
2021,2,Chubut,138412,8250.0,139237,4,1
2021,2,Córdoba,930818,620.0,930880,5,1
2021,2,Corrientes,129498,30.0,129501,6,1
2021,2,Entre Ríos,257617,150.0,257632,7,1
2021,2,Formosa,51551,0.0,51551,8,1
2021,2,Jujuy,111848,0.0,111848,9,1
2021,2,La Pampa,97551,1160.0,97667,10,1
2021,2,La Rioja,81599,30.0,81602,11,1
2021,2,Mendoza,229052,6190.0,229671,12,1
2021,2,Misiones,156176,0.0,156176,13,1
2021,2,Neuquén,137877,3730.0,138250,14,1
2021,2,Río Negro,143583,5010.0,144084,15,1
2021,2,Salta,191637,20.0,191639,16,1
2021,2,San Juan,78677,2560.0,78933,17,1
2021,2,San Luis,122670,1480.0,122818,18,1
2021,2,Santa Cruz,48785,1970.0,48982,19,1
2021,2,Santa Fe,840449,1510.0,840600,20,1
2021,2,Santiago Del Estero,114089,10.0,114090,21,1
2021,2,Tierra Del Fuego,35404,2890.0,35693,22,1
2021,2,Tucumán,233026,250.0,233051,23,1
2021,1,Buenos Aires,4054936,50660.0,4060002,0,1
2021,1,Capital Federal,1378283,13900.0,1379673,1,1
2021,1,Catamarca,51967,10.0,51968,2,1
2021,1,Chaco,139767,30.0,139770,3,1
2021,1,Chubut,131515,8250.0,132340,4,1
2021,1,Córdoba,910826,550.0,910881,5,1
2021,1,Corrientes,126622,30.0,126625,6,1
2021,1,Entre Ríos,251950,130.0,251963,7,1
2021,1,Formosa,50686,0.0,50686,8,1
2021,1,Jujuy,110456,0.0,110456,9,1
2021,1,La Pampa,96989,1160.0,97105,10,1
2021,1,La Rioja,52625,30.0,52628,11,1
2021,1,Mendoza,218308,6150.0,218923,12,1
2021,1,Misiones,149387,0.0,149387,13,1
2021,1,Neuquén,132862,3730.0,133235,14,1
2021,1,Río Negro,140667,5010.0,141168,15,1
2021,1,Salta,187572,20.0,187574,16,1
2021,1,San Juan,78011,2560.0,78267,17,1
2021,1,San Luis,119006,1480.0,119154,18,1
2021,1,Santa Cruz,45868,1970.0,46065,19,1
2021,1,Santa Fe,825990,1370.0,826127,20,1
2021,1,Santiago Del Estero,111640,10.0,111641,21,1
2021,1,Tierra Del Fuego,40133,2890.0,40422,22,1
2021,1,Tucumán,231890,220.0,231912,23,1
2020,4,Buenos Aires,4028195,50660.0,4033261,0,2
2020,4,Capital Federal,1378140,13900.0,1379530,1,2
2020,4,Catamarca,52395,10.0,52396,2,2
2020,4,Chaco,139088,30.0,139091,3,2
2020,4,Chubut,129749,8250.0,130574,4,2
2020,4,Córdoba,902646,550.0,902701,5,2
2020,4,Corrientes,125656,30.0,125659,6,2
2020,4,Entre Ríos,247368,130.0,247381,7,2
2020,4,Formosa,50206,0.0,50206,8,2
2020,4,Jujuy,105851,0.0,105851,9,2
2020,4,La Pampa,96779,1160.0,96895,10,2
2020,4,La Rioja,52775,30.0,52778,11,2
2020,4,Mendoza,214838,6150.0,215453,12,2
2020,4,Misiones,147161,0.0,147161,13,2
2020,4,Neuquén,132762,3730.0,133135,14,2
2020,4,Río Negro,140709,5010.0,141210,15,2
2020,4,Salta,187388,20.0,187390,16,2
2020,4,San Juan,72340,2560.0,72596,17,2
2020,4,San Luis,119287,1480.0,119435,18,2
2020,4,Santa Cruz,40477,1970.0,40674,19,2
2020,4,Santa Fe,820676,1370.0,820813,20,2
2020,4,Santiago Del Estero,106668,10.0,106669,21,2
2020,4,Tierra Del Fuego,39325,2890.0,39614,22,2
2020,4,Tucumán,231067,220.0,231089,23,2
2020,3,Buenos Aires,3932211,50660.0,3937277,0,2
2020,3,Capital Federal,1371285,13900.0,1372675,1,2
2020,3,Catamarca,49903,10.0,49904,2,2
2020,3,Chaco,133951,30.0,133954,3,2
2020,3,Chubut,129202,8250.0,130027,4,2
2020,3,Córdoba,867417,550.0,867472,5,2
2020,3,Corrientes,123388,30.0,123391,6,2
2020,3,Entre Ríos,241482,130.0,241495,7,2
2020,3,Formosa,49209,0.0,49209,8,2
