,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
24,2022,3,Buenos Aires,339648,2748325,1436433,126846,70416,4721668,,,Z_Total,1315373.0,6037457.0,3060575.0,572969.0,221740.0,11208114.0
25,2022,3,Capital Federal,140791,1240125,129218,5758,31787,1547679,,,,,,,,,
26,2022,3,Catamarca,10010,10495,46224,1329,2235,70293,,,,,,,,,
27,2022,3,Chaco,27164,61800,44645,8178,2359,144146,,,,,,,,,
28,2022,3,Chubut,45377,72212,9574,29784,8831,165778,,,,,,,,,
29,2022,3,Córdoba,163770,465461,338570,61070,9797,1038668,,,,,,,,,
30,2022,3,Corrientes,36508,77140,18619,7256,5323,144846,,,,,,,,,
31,2022,3,Entre Ríos,60345,132952,36971,26098,12593,268959,,,,,,,,,
32,2022,3,Formosa,14470,25880,11041,16935,212,68538,,,,,,,,,
33,2022,3,Jujuy,19257,52978,40172,4033,2383,118823,,,,,,,,,
34,2022,3,La Pampa,7796,60078,23551,20216,4451,116092,,,,,,,,,
35,2022,3,La Rioja,6842,53899,19697,6395,31,86864,,,,,,,,,
36,2022,3,Mendoza,37659,78858,142615,27625,2766,289523,,,,,,,,,
37,2022,3,Misiones,35513,88902,39046,11074,7622,182157,,,,,,,,,
38,2022,3,Neuquén,29352,75815,29396,27482,1116,163161,,,,,,,,,
39,2022,3,Río Negro,35552,48260,41017,16760,18969,160558,,,,,,,,,
40,2022,3,Salta,40006,96984,50254,10082,7215,204541,,,,,,,,,
41,2022,3,San Juan,38570,22723,12328,21860,7918,103399,,,,,,,,,
42,2022,3,San Luis,6860,29363,248,70614,14985,122070,,,,,,,,,
43,2022,3,Santa Cruz,10170,24047,10815,3896,582,49510,,,,,,,,,
44,2022,3,Santa Fe,183740,426255,215189,43079,19547,887810,,,,,,,,,
45,2022,3,Santiago Del Estero,15385,80937,13170,6618,2922,119032,,,,,,,,,
46,2022,3,Tierra Del Fuego,12754,39963,403,125,651,53896,,,,,,,,,
47,2022,3,Tucumán,77738,18518,162345,3997,519,263117,,,,,,,,,
48,2022,2,Buenos Aires,350652,2719613,1399043,126847,71028,4667183,,,,,,,,,
49,2022,2,Capital Federal,145491,1232226,121506,5757,31791,1536771,,,,,,,,,
50,2022,2,Catamarca,11928,9430,42087,1329,2234,67008,,,,,,,,,
51,2022,2,Chaco,29552,61284,42194,8178,2356,143564,,,,,,,,,
52,2022,2,Chubut,45377,69242,9574,29784,8828,162805,,,,,,,,,
53,2022,2,Córdoba,179181,467595,308895,61107,9657,1026435,,,,,,,,,
54,2022,2,Corrientes,38468,75769,18181,7256,5323,144997,,,,,,,,,
55,2022,2,Entre Ríos,63794,131029,35839,26098,12592,269352,,,,,,,,,
56,2022,2,Formosa,15397,25487,9875,16910,212,67881,,,,,,,,,
57,2022,2,Jujuy,20303,54495,34184,3955,2377,115314,,,,,,,,,
58,2022,2,La Pampa,7796,59273,22994,20200,1264,111527,,,,,,,,,
59,2022,2,La Rioja,7759,52656,19189,6395,31,86030,,,,,,,,,
60,2022,2,Mendoza,37663,77504,135504,26964,1927,279562,,,,,,,,,
61,2022,2,Misiones,37208,89260,33649,11074,7622,178813,,,,,,,,,
62,2022,2,Neuquén,29749,74905,28824,27371,1119,161968,,,,,,,,,
63,2022,2,Río Negro,36050,47040,40946,16760,18968,159764,,,,,,,,,
64,2022,2,Salta,42665,96178,47076,10068,7190,203177,,,,,,,,,
65,2022,2,San Juan,38570,19734,12328,21859,7916,100407,,,,,,,,,
66,2022,2,San Luis,6860,29034,248,70614,14985,121741,,,,,,,,,
67,2022,2,Santa Cruz,10170,23725,10815,3896,579,49185,,,,,,,,,
68,2022,2,Santa Fe,198492,428233,189503,43081,19550,878859,,,,,,,,,
69,2022,2,Santiago Del Estero,16561,80338,11605,6618,2922,118044,,,,,,,,,
70,2022,2,Tierra Del Fuego,12754,39837,403,125,651,53770,,,,,,,,,
71,2022,2,Tucumán,85893,15327,148823,3997,487,254527,,,,,,,,,
72,2022,1,Buenos Aires,392045,2728865,1242121,125521,66872,4555424,,,,,,,,,
73,2022,1,Capital Federal,102290,1217225,62308,5784,29934,1417541,,,,,,,,,
74,2022,1,Catamarca,14181,15517,29118,1328,2234,62378,,,,,,,,,
75,2022,1,Chaco,32391,64546,36662,8164,2356,144119,,,,,,,,,
76,2022,1,Chubut,44133,66667,9184,30592,21052,171628,,,,,,,,,
77,2022,1,Córdoba,195610,501799,235838,60843,9713,1003803,,,,,,,,,
78,2022,1,Corrientes,40462,79093,10875,6774,5374,142578,,,,,,,,,
79,2022,1,Entre Ríos,67159,138986,23091,26098,12592,267926,,,,,,,,,
80,2022,1,Formosa,16397,15927,5146,16876,202,54548,,,,,,,,,
81,2022,1,Jujuy,21307,60616,25949,4662,3975,116509,,,,,,,,,
82,2022,1,La Pampa,8003,58978,21739,19903,1109,109732,,,,,,,,,
83,2022,1,La Rioja,9103,59228,9546,6395,31,84303,,,,,,,,,
84,2022,1,Mendoza,49464,74145,123228,26969,1379,275185,,,,,,,,,
85,2022,1,Misiones,39147,91752,25178,7807,7624,171508,,,,,,,,,
86,2022,1,Neuquén,28443,73200,24193,23098,745,149679,,,,,,,,,
87,2022,1,Río Negro,38662,45366,38037,16815,18494,157374,,,,,,,,,
88,2022,1,Salta,44714,98667,40994,5950,7190,197515,,,,,,,,,
89,2022,1,San Juan,34038,14449,11294,20723,7674,88178,,,,,,,,,
90,2022,1,San Luis,7987,11296,31,71809,28721,119844,,,,,,,,,
91,2022,1,Santa Cruz,10537,23420,10766,3974,405,49102,,,,,,,,,
92,2022,1,Santa Fe,213486,444609,146552,45261,20571,870479,,,,,,,,,
93,2022,1,Santiago Del Estero,18118,87979,1093,6349,2922,116461,,,,,,,,,
94,2022,1,Tierra Del Fuego,13031,38700,416,124,340,52611,,,,,,,,,
95,2022,1,Tucumán,92532,62396,86174,3995,487,245584,,,,,,,,,
96,2021,4,Buenos Aires,426325,2706506,1176024,126887,73415,4509157,,,,,,,,,
97,2021,4,Capital Federal,111360,1205128,60005,5679,29947,1412119,,,,,,,,,
98,2021,4,Catamarca,16385,13858,25100,1512,2235,59090,,,,,,,,,
99,2021,4,Chaco,35548,63145,34688,8005,2359,143745,,,,,,,,,
100,2021,4,Chubut,46361,57412,9655,28041,18839,160308,,,,,,,,,
101,2021,4,Córdoba,212011,487489,217214,61277,8779,986770,,,,,,,,,
102,2021,4,Corrientes,42523,71183,10138,6778,5290,135912,,,,,,,,,
103,2021,4,Entre Ríos,70459,133387,23452,25022,12726,265046,,,,,,,,,
104,2021,4,Formosa,17211,15111,5151,16018,172,53663,,,,,,,,,
